head_shoulder_z_diff,head_shoulder_y_diff,posture_angle,head_tilt_z_diff,label
-0.5661922603753669,-1.2102924622668454,-2.008365566152828,-0.3897004357863231,1.0
-0.546045945520261,-1.2125946790800306,-1.9939096892181944,-0.39829958947103045,1.0
-0.5500070163284324,-1.2189636022082797,-1.994654977262243,-0.3943057667146699,1.0
-0.4843484536014349,-1.1879449527548926,-1.957939775499391,-0.3559553530563128,1.0
-0.4592554665020685,-1.1858788178560256,-1.9402807568447946,-0.35894521872919716,1.0
-0.456444765668131,-1.1998333284907445,-1.9343133268034722,-0.3444850594732179,1.0
-0.5039263870062533,-1.1921923168444413,-1.9707077731014848,-0.3642136036244992,1.0
-0.40848533775755425,-1.1745029687114017,-1.9055047314825175,-0.32340440472900706,1.0
-0.43479120137698657,-1.186840727048774,-1.9219560862019056,-0.3883805918250227,1.0
-0.3072910201338766,-1.183349056470833,-1.8248637828357772,-0.29517973777498246,1.0
-0.32620696031347823,-1.2031788485765165,-1.8355526265189686,-0.31210712470099317,1.0
-0.3096324167630907,-1.1987350622786999,-1.8235707058860136,-0.291067940525165,1.0
-0.2897840818793092,-1.1910291081089932,-1.8094645457096812,-0.2763617853067207,1.0
-0.32011375628508665,-1.1989155778618876,-1.8317124630101065,-0.2757019209106939,1.0
-0.47095140475600844,-1.1625119252604694,-1.9557046798588558,-0.3671409206146501,0.0
-0.5153892641827352,-1.1711429342456843,-1.9853649885150277,-0.3615637258207477,0.0
-0.5326678474715,-1.1630368035913103,-2.0002809665394836,-0.36556480413712084,0.0
-0.5034936202545803,-1.162110347225927,-1.9796407414258002,-0.36061273642967134,0.0
-0.4637437515201426,-1.1495763508381027,-1.9542337777008731,-0.3432927494549517,0.0
-0.504816916912925,-1.1605834261335652,-1.9810797662570223,-0.38172569258882816,0.0
-0.45566296262997047,-1.1482216254546478,-1.9485776272297508,-0.3303850312471572,0.0
-0.5374822709857242,-1.1761473858515654,-1.9994441682591568,-0.38345163043879804,0.0
-0.5550074188026016,-1.1705894151693204,-2.013531694005643,-0.3746989739610998,0.0
-0.5517398099468903,-1.1645194262815313,-2.01325845741955,-0.3735346186987869,0.0
-0.43961046744537685,-1.1634905981568258,-1.9320524112635158,-0.34737322159505324,0.0
-0.5328503203278607,-1.1687801601747543,-1.998548290172045,-0.36134504362153846,0.0
-0.316577738861277,-1.1356746151641852,-1.8426524252277081,-0.2772410058616658,0.0
-0.4118645180370018,-1.132963606328424,-1.9194720276573536,-0.3175787251226685,0.0
-0.515038415545663,-1.1575613553838242,-1.989429394469057,-0.37598570508854895,0.0
-0.5876249592338605,-1.1706175739803857,-2.0360255547379404,-0.4014821769855088,0.0
-0.4977422862234246,-1.150990566074837,-1.978957607140408,-0.3525220142758017,0.0
-0.4668673063913511,-1.1402715076562597,-1.9594099519821564,-0.34120163999294006,0.0
-0.5004559668452622,-1.127556805312588,-1.988516656190877,-0.3527739351625349,0.0
-0.5437416425110425,-1.1636614808977475,-2.0079170764867382,-0.38956297042397436,0.0
-0.6134993356948143,-1.173910587216688,-2.052369181604216,-0.4062868215746059,0.0
-0.3949333177577189,-1.1437194900308187,-1.9032833943288223,-0.3005421857363227,0.0
-0.5507291020448981,-1.134204193487702,-2.0228288524862514,-0.3585673894262196,0.0
-0.5825248182627281,-1.1136369217954973,-2.052739544962389,-0.3807308411983873,0.0
-0.5168463397395555,-1.1302052107382012,-1.9997068851468782,-0.36297681506443763,0.0
-0.414942713689169,-1.1366504665687973,-1.920821871636764,-0.3255921933526215,0.0
-0.43024373561449103,-1.145730701362072,-1.930022000704261,-0.34092972772846475,0.0
-0.4568983541210192,-1.1415960099977576,-1.9514989881736065,-0.33596834473382087,0.0
-0.4478618599509125,-1.1286450304778755,-1.9485529170175242,-0.3417013272749773,0.0
-0.4387017771377144,-1.1171884349760657,-1.944979749613304,-0.327911582906957,0.0
-0.30208532805860394,-1.1217037528738287,-1.8338643430151913,-0.2828408658916954,0.0
-0.33758376163258164,-1.1106969320282922,-1.8658626624228076,-0.2936005450259785,0.0
-0.34421737088334076,-1.0928985789862493,-1.8759191255482117,-0.28773724942054413,0.0
-0.3263596037387633,-1.0982597668884326,-1.859646196341428,-0.29342076824810986,0.0
-0.5306645857628826,-1.1167593127413096,-2.014393632009474,-0.36674024508939684,0.0
-0.4270371952301052,-1.0757449297831816,-1.948686889386938,-0.3277777248876798,0.0
-0.4924064571972133,-1.0765720108798225,-1.9997735228479971,-0.34417939188530056,0.0
-0.610692940080204,-1.0735880673846803,-2.0879840274108634,-0.37022722071498726,0.0
-0.5382446011933428,-1.0562601084483438,-2.042075205499347,-0.344512983540693,0.0
-0.6228725692900985,-1.079036805907551,-2.0943189053479556,-0.3785403928718957,0.0
-0.6040136788921875,-1.056877143492459,-2.09000227053243,-0.3702251160100419,0.0
-0.6295671275284171,-1.0884225792878226,-2.0951982262030633,-0.3818588292691525,0.0
-0.6989741172425151,-1.0893240547983507,-2.1412852578334487,-0.3845303530841751,0.0
-0.6724887345379646,-1.1028754988488922,-2.1183609913107095,-0.39536917914158876,0.0
-0.49518078163004897,-1.1085627158340507,-1.9908919176829136,-0.3471782828186875,0.0
-0.5485593362117424,-1.108417381373603,-2.0303582085267076,-0.36540443393048755,0.0
-0.4400750743461086,-1.1265217348664853,-1.943215969645014,-0.32960508264867966,0.0
-0.24434598243809477,-1.1398156951250493,-1.7819733406920606,-0.26626858783176566,0.0
-0.3482867215094611,-1.1381487067931022,-1.8677591965494538,-0.3127206868733126,0.0
-0.3017050819273973,-1.1401230456923077,-1.8294916483327268,-0.2909274028314744,0.0
-0.3200467235608422,-1.1367167469614923,-1.8452451262962999,-0.2982018914658437,0.0
-0.4728538796741286,-1.1284582645813892,-1.9675964780005912,-0.3493692598952446,0.0
-0.30855923749762937,-1.1335826652234158,-1.8365559280320192,-0.30062393087238076,0.0
-0.6594299975203347,-1.1377308408219624,-2.096081547743269,-0.3911505903925811,0.0
-0.6773475956076217,-1.1372652034419366,-2.1079693452127732,-0.4067968118274214,0.0
-0.6123526787778182,-1.1353706383367377,-2.0654197369809046,-0.3860319421218595,0.0
-0.6248402721904049,-1.1342449332926705,-2.0743199314605203,-0.38332500845086054,0.0
-0.5381224359139175,-1.1273773395698623,-2.0161378114050748,-0.36077302457072735,0.0
-0.37028182748878236,-1.2170523016964816,-1.8661428642049847,-0.3171962835037015,1.0
-0.31757897486403924,-1.2093247010155874,-1.8276061826752594,-0.2941401583329064,1.0
-0.3757294695089825,-1.1918362519903862,-1.8761869271600153,-0.3154363146606263,1.0
-0.45833465993180633,-1.1916716714643774,-1.93796972322734,-0.3563575979452343,1.0
-0.4619572000140368,-1.196170164422283,-1.9393471351423697,-0.3588220055227426,1.0
-0.49163144795566277,-1.1931497190952074,-1.9616430581542745,-0.3610261513142675,1.0
-0.48007189419070595,-1.1906637442928647,-1.9540555841411047,-0.3943127800160536,1.0
-0.5121894397345411,-1.1873694654804041,-1.9780456754539548,-0.3901698638930726,1.0
-0.47918358204952943,-1.185823850091613,-1.9548265017266546,-0.3774269285362411,1.0
-0.41740542828542293,-1.1997874545059286,-1.9055986322464846,-0.3612382796138115,1.0
-0.4907885121804439,-1.2009208091843415,-1.9587602799611206,-0.3946999856935223,1.0
-0.4514478103816343,-1.199669588976503,-1.9307151028787002,-0.3909377137772831,1.0
-0.5427480535591167,-1.2220745326678666,-1.9887499092373115,-0.39039395303887303,1.0
-0.5229196055624011,-1.2066653796474625,-1.9797259761393768,-0.38524142404031575,1.0
-0.46194240354648486,-1.2149419801575327,-1.934133523630241,-0.3716704077024826,1.0
-0.4223656283411706,-1.1883976070883493,-1.9122805259917481,-0.3380784313827728,1.0
-0.2692252228433204,-1.1895744304753877,-1.7933673983685574,-0.34334086889906434,1.0
-0.24938146202773606,-1.194888992264515,-1.7765496240139906,-0.28726249641076373,1.0
-0.2628503739816791,-1.16953532727217,-1.7918706126734132,-0.28142998257348956,1.0
-0.24572901756048654,-1.1709403088564139,-1.7776507367054295,-0.28141725709859944,1.0
-0.4182818092484784,-1.1402701760185303,-1.9223823847379775,-0.32558097009238973,1.0
-0.48403579766133836,-1.1778042573099148,-1.9607190216331056,-0.35556884108306935,1.0
-0.4820111175833754,-1.1626619385477155,-1.9638042749469322,-0.3644773450811158,1.0
-0.46510666426681907,-1.1607630085688154,-1.9518977865981022,-0.36222182152499643,1.0
-0.4243821180929735,-1.1085041393696669,-1.9364245264796192,-0.29641904188573054,1.0
-0.33952649984923505,-1.175883149477098,-1.851892672407434,-0.30619450143200466,1.0
-0.3823731493142929,-1.1502823315079538,-1.8917217569543192,-0.3537295320544656,1.0
-0.5104173948251933,-1.1792529423765918,-1.9792812771370651,-0.38411703069406816,1.0
-0.3461985268412793,-1.1939362082537652,-1.8530205474855566,-0.30126750434386046,1.0
-0.3946679603928133,-1.1574565875003013,-1.8994117939613282,-0.32370098278927484,1.0
-0.40251819852228177,-1.167058223339076,-1.9029203713675467,-0.3312856355021819,1.0
-0.35840342071703263,-1.1783942959008136,-1.866052056056541,-0.3238392233977792,1.0
-0.43290754974478024,-1.1893190233376407,-1.9198850642368992,-0.3545293466590638,1.0
-0.35006250457184246,-1.180492893444701,-1.8590751261729541,-0.31707357663498625,1.0
-0.34026223413455076,-1.1642384494536886,-1.8551386721684653,-0.3070315840929645,1.0
-0.3984638464467005,-1.1482866331753918,-1.9048025616499091,-0.3255856600064368,1.0
-0.4131017250367233,-1.1499263373796094,-1.915680624878707,-0.31840321500077795,1.0
-0.3692870356343745,-1.139582175412203,-1.8841730570026665,-0.3056681674420234,1.0
-0.29022848310309535,-1.1617301853480282,-1.8156096611275327,-0.2808207777887417,1.0
-0.3238303726088773,-1.1776339881679618,-1.839147558363202,-0.2722638471022395,1.0
-0.3672066273177874,-1.1053663073702351,-1.8915297447974433,-0.28846070508272326,1.0
-0.4053622110759079,-1.1336182663299201,-1.9142102454814363,-0.3177714178374207,1.0
-0.3996447667252953,-1.118269090572004,-1.9140287912382736,-0.35853655818353486,1.0
-0.38005175275143616,-1.1586808157512296,-1.8877426896933622,-0.3325103923976846,1.0
-0.4532938657956466,-1.1776565836499606,-1.9382283158090423,-0.3404075157887018,1.0
-0.382112043530768,-1.2017006893477877,-1.878662249120489,-0.31523647410266653,1.0
-0.43085785309225016,-1.1942134913348859,-1.9170492915718276,-0.30573065661921084,1.0
-0.2966016692564819,-1.2154069712048163,-1.8101529080952308,-0.28985589904434006,1.0
-0.30023517148583234,-1.2094544773942675,-1.8141179841406605,-0.2816114192946975,1.0
-0.4552064777839603,-1.2008353124908662,-1.9331346822193334,-0.34248284667474044,1.0
-0.4309503236242053,-1.1979025282127715,-1.9161341861588441,-0.33579468977209503,1.0
-0.34990254813778926,-1.2095007622676692,-1.852403336354465,-0.3033702120823391,1.0
-0.43051352943572735,-1.2126291857806624,-1.9119406202270575,-0.38853310014427167,1.0
-0.49127543135733676,-1.233051859430082,-1.9499419296488019,-0.3694714634993038,1.0
-0.5088231081841391,-1.2447123938257194,-1.95885527137771,-0.39236437189411194,1.0
-0.39763621013564676,-1.2361270995168165,-1.8820216281747257,-0.3401615599405909,1.0
-0.35250265396118574,-1.234503750031541,-1.8489366836767631,-0.3186082134436362,1.0
-0.27843540787708054,-1.2210140877227353,-1.7949987783501093,-0.2885515298216038,1.0
-0.31237238127267464,-1.2303437530438308,-1.819433111952787,-0.31310904770575776,1.0
-0.37509903798102456,-1.2210847615552263,-1.8688318463235267,-0.34016233651573324,1.0
-0.3200843743347781,-1.2178107222833656,-1.827818875536321,-0.3011585753495778,1.0
-0.3597596017853836,-1.2082132152827374,-1.8601983575380545,-0.3148752913148029,1.0
-0.34941010742510875,-1.2056824469846337,-1.852871805296944,-0.31575316072189075,1.0
-0.43038880946770885,-1.2033421240986062,-1.9142799142393883,-0.3438348227945635,1.0
-0.44165788868946093,-1.1739620949292626,-1.930628597357566,-0.32429830039945023,1.0
-0.45695161079924423,-1.2115196910513522,-1.9314700761849988,-0.3543753760530289,1.0
-0.4770256836138155,-1.1138223344604066,-1.9754402522939758,-0.3365924010956074,0.0
-0.4886387942832311,-1.1560625121493426,-1.9706960840906071,-0.3649807410025858,0.0
-0.33435914079097306,-1.1562393292356106,-1.852295480450178,-0.2989118568684819,0.0
-0.49274523336702286,-1.1531934137668312,-1.9746029859724927,-0.3461623310393064,0.0
-0.4159443155531057,-1.1500134344295092,-1.9178440963848054,-0.3497995141901147,0.0
-0.3702751310689317,-1.1538711154573542,-1.8813138006998793,-0.34205804430816955,0.0
-0.4175993221957659,-1.153892407800422,-1.918037236192201,-0.35604610670647774,0.0
-0.2404531938695924,-1.151335358030638,-1.7766841799736566,-0.27547886634654933,0.0
-0.4624350564633035,-1.1586782442201555,-1.9505314917083039,-0.36264122552150024,0.0
-0.3550705060653783,-1.1542365275159103,-1.8692325789994482,-0.33574769302527663,0.0
-0.36489652748287693,-1.1428436043237964,-1.87985349568519,-0.32146201003809194,0.0
-0.27953618991972273,-1.1490378017933611,-1.8094389338560777,-0.2812365985225881,0.0
-0.37692573483663405,-1.1391827425265115,-1.8903316797299203,-0.3196909339991633,0.0
-0.4200986866653698,-1.1326181829060284,-1.9259758693916562,-0.3286226377309256,0.0
-0.39651297159710847,-1.1179960396229776,-1.9116201190717625,-0.32034364536531296,0.0
-0.4385050124629758,-1.1331759059577704,-1.9400196742801599,-0.36499013062449726,0.0
-0.28647470047581636,-1.1370378981975262,-1.8176077880009796,-0.2936736374816726,0.0
-0.46007477808242947,-1.1213390448519918,-1.9601422427513875,-0.3443055502083166,0.0
-0.3293286842418067,-1.12473279864959,-1.8556402649250896,-0.3001543754605152,0.0
-0.3770080206523253,-1.1196276561132152,-1.8955973905685948,-0.3188329481643877,0.0
-0.43748910009643693,-1.122349999679717,-1.9424765267681148,-0.34627414694228126,0.0
-0.5599965694276465,-1.1142583051811907,-2.0365005248161143,-0.36620307619073206,0.0
-0.5707868323965216,-1.1162668695824534,-2.043471125923474,-0.3792653874896155,0.0
-0.5364567669590607,-1.0990229864885188,-2.0248960721968663,-0.3630993903244861,0.0
-0.5285384467250345,-1.1115659722329023,-2.0146443411822226,-0.36549525925425597,0.0
-0.3340456009983544,-1.1272372888786961,-1.858892033756128,-0.3168346654499089,0.0
-0.5383270009886411,-1.1539902574423446,-2.007279888224801,-0.3885772525756087,0.0
-0.5734473994652014,-1.1650286112729031,-2.028198525874961,-0.3925248189896769,0.0
-0.5547815130176345,-1.1553725524773424,-2.018458872420658,-0.36950437005841136,0.0
-0.5901020834646871,-1.175548449536196,-2.036026866271423,-0.39614352941564607,0.0
-0.6010920558247925,-1.1750636866496316,-2.043633242882816,-0.40247145958109154,0.0
-0.5667680437938255,-1.176963827848309,-2.019576060218489,-0.3914384768300968,0.0
-0.6005523353445475,-1.1770720617321908,-2.042577454530201,-0.40519580213532613,0.0
-0.5377453187254665,-1.1725037955257767,-2.00080367497069,-0.3818273999698543,0.0
-0.5360452355110165,-1.1703355823315051,-2.000305380446448,-0.37432994564452465,0.0
-0.5302365540718895,-1.1628297509862706,-1.9986188050657319,-0.3700628968028548,0.0
-0.53608030957603,-1.1547780436951738,-2.0054190669927774,-0.36308797436096835,0.0
-0.5305421591420102,-1.1231334641085908,-2.012102168864153,-0.3649409869994774,0.0
-0.5297254899166037,-1.1180113887391216,-2.013273657651856,-0.37173039616214354,0.0
-0.3843347036579055,-1.0957279308585055,-1.9081457497601737,-0.31853377571833685,0.0
-0.48839754024687904,-1.0858414620522372,-1.993473235410226,-0.3536898862453796,0.0
-0.3908793286527351,-1.0770516081768573,-1.9189310048039054,-0.309896150067819,0.0
-0.6671481530919984,-1.1131433415019945,-2.110728291690936,-0.39092514581392973,0.0
-0.5839044035996399,-1.0823080842829456,-2.0655418144316378,-0.3666639107888762,0.0
-0.5633256476941262,-1.059811633449912,-2.0593515435432153,-0.3625992531781383,0.0
-0.4912798246698624,-1.0873091708647091,-1.9951717440063084,-0.35393724300173357,0.0
-0.40003436548583937,-1.0737056033903534,-1.9274380500324093,-0.3183027222460421,0.0
-0.5183722545860566,-1.1023566938774254,-2.0103538040505797,-0.3551816550371231,0.0
-0.599497777178611,-1.1418323243100899,-2.054267911422857,-0.4063194902247159,0.0
-0.5817135094391096,-1.1476709261986395,-2.039920345938604,-0.3995486526598446,0.0
-0.6634931517876106,-1.1498873233424076,-2.0941376885729315,-0.39692123810231683,0.0
-0.6339152677062125,-1.1613250974535676,-2.0704517310056882,-0.4054550362089486,0.0
-0.6242563387520428,-1.1301974485106276,-2.0754363956526465,-0.40561309884407776,0.0
-0.6252247353991063,-1.1325030060003658,-2.0752299721027407,-0.39507004332132417,0.0
-0.6735732120930417,-1.12543111873949,-2.1101139141695446,-0.3951943725552657,0.0
-0.4414487113392363,-1.15397177072167,-1.936167278684939,-0.33345812357538407,0.0
-0.4876454388039561,-1.1472006686168978,-1.97272984450957,-0.35890827116206253,0.0
-0.4942197181161166,-1.1099790273892347,-1.9896943056613174,-0.3697955335318118,0.0
-0.5213586531391282,-1.1469677533803666,-1.9974308103023104,-0.36365244746987474,0.0
-0.4083738225735092,-1.1587750469361013,-1.9096241300839414,-0.3539835048038129,0.0
-0.4846923498024667,-1.1522385531785302,-1.968979084660698,-0.37598889546910674,0.0
-0.5148038631557769,-1.1566539894481764,-1.989551473294911,-0.3658047134953297,0.0
-0.36406509301278495,-1.1612908844810206,-1.874592281843435,-0.3171281432430637,0.0
-0.4565580970215698,-1.1542680261739364,-1.9474511655498767,-0.3734916471075646,0.0
-0.35969884468374985,-1.128205919014114,-1.8794319193673166,-0.31501353051505465,0.0
-0.3196347217848269,-1.1362046919051016,-1.8450267026867972,-0.3047237994995075,0.0
-0.33677520727678534,-1.1420225883759816,-1.8575618358920436,-0.31804683239271986,0.0
-0.33538031027956083,-1.132501821380961,-1.8587090766404963,-0.30490464949738477,0.0
-0.3574426677585123,-1.1326475620752905,-1.8764861133652062,-0.33464917047131476,0.0
-0.43532545439032383,-1.1218317857802371,-1.9409576614037227,-0.34662643570453155,0.0
-0.39520546862545075,-1.1254622194380812,-1.9084948110117095,-0.341459275147009,0.0
-0.40188160326953326,-1.0966614331596571,-1.9220581741830278,-0.3358740376524398,0.0
-0.3256777935624872,-1.1026261811175992,-1.8579959320425783,-0.29163331517138474,0.0
-0.40489442241169343,-1.0772218255092507,-1.9303287497640425,-0.2996170845408487,0.0
-0.5718662104497355,-1.091516559219473,-2.0533954850151854,-0.3725644168889248,0.0
-0.4672152722830959,-1.0882096055959458,-1.9763398499331564,-0.33489965587804943,0.0
-0.5915060483313467,-1.0675285202298304,-2.0767736343256558,-0.3433940393908855,0.0
-0.6447908331310264,-1.1093811300710932,-2.097290066338816,-0.3930754325677994,0.0
-0.5379394698878649,-1.0993603268259688,-2.0258638382427496,-0.3535071083833421,0.0
-0.5513509349516558,-1.1011485306412963,-2.035008038069986,-0.37175243188926066,0.0
-0.5961528548405118,-1.1038485077587679,-2.0659819553683025,-0.38966601750004454,0.0
-0.5641149152636166,-1.1059234371970834,-2.042479317738947,-0.3488575632643491,0.0
-0.5307154231162611,-1.1256424719270401,-2.0113669342751037,-0.39437984883828336,0.0
-0.46157139182728896,-1.1036235021971752,-1.9669210408987297,-0.339516311654962,0.0
-0.400826589791454,-1.1103601418892686,-1.9172262003565939,-0.3136329681697989,0.0
-0.3771489673923937,-1.1198490979742117,-1.8956506301051097,-0.31194861950878217,0.0
-0.3865206468542418,-1.1038427542182754,-1.9076129259693098,-0.316512299853913,0.0
-0.613993257820089,-1.127193510749907,-2.0695688286878453,-0.4075959584141079,0.0
-0.5471416304406056,-1.1095334902325427,-2.028930947805341,-0.365259025750792,0.0
-0.5570185808912363,-1.0938782328928638,-2.0417882777152645,-0.36452910752510803,0.0
-0.5440611467774636,-1.086307803033739,-2.0351118438379356,-0.36991629273965787,0.0
-0.44109904725167903,-1.0861865456487505,-1.9565492039381012,-0.3388530548548524,0.0
-0.5152626151052718,-1.0482326524595915,-2.027664075307047,-0.3986234435869468,0.0
-0.6135075187446454,-1.0897223764689978,-2.083561222227781,-0.39450501829142176,0.0
-0.6408584686310405,-1.1018877036781032,-2.0975769287553145,-0.39240132142142836,0.0
-0.6249780394438345,-1.101192987458268,-2.0870109346924313,-0.39264373114271034,0.0
-0.5570504097594344,-1.0921311462040815,-2.042458053613554,-0.3548182160362317,0.0
-0.5714857385332921,-1.0996631585241021,-2.050072853026103,-0.37757459793722375,0.0
-0.4653929759314083,-1.1003978198133608,-1.9709136904733104,-0.34784791894295597,0.0
-0.657716267715199,-1.0998101443829205,-2.1097639002382125,-0.4037903349022574,0.0
-0.5485771174407634,-1.077431994318845,-2.0417390422634916,-0.3700900302443055,0.0
-0.590799394060077,-1.0524079695814568,-2.082333573097448,-0.3729317073156477,0.0
-0.567968085347885,-1.0420500580625542,-2.069830251094027,-0.3672768129687246,0.0
-0.5266408418011199,-1.0630923041302442,-2.0307457747263062,-0.36925943424885366,0.0
-0.6552031601949565,-1.0563111944339996,-2.1259904898732676,-0.37794665347868,0.0
